"","Accession","Description"
"3034","Q9EQH2","Endoplasmic reticulum aminopeptidase 1 OS=Mus musculus OX=10090 GN=Erap1 PE=1 SV=2"
"3035","O54819","Tissue factor pathway inhibitor OS=Mus musculus OX=10090 GN=Tfpi PE=2 SV=1"
"3036","Q9WU22","Tyrosine-protein phosphatase non-receptor type 4 OS=Mus musculus OX=10090 GN=Ptpn4 PE=1 SV=2"
"3037","Q5U3K5","Rab-like protein 6 OS=Mus musculus OX=10090 GN=Rabl6 PE=1 SV=2"
"3038","Q5DU37","Zinc finger FYVE domain-containing protein 26 OS=Mus musculus OX=10090 GN=Zfyve26 PE=1 SV=2"
"3039","Q9CYW4","Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Mus musculus OX=10090 GN=Hdhd3 PE=1 SV=1"
"3040","B2RX88","Centrosome and spindle pole associated protein 1 OS=Mus musculus OX=10090 GN=Cspp1 PE=1 SV=2"
"3041","Q8VCA6","Transmembrane protein 161A OS=Mus musculus OX=10090 GN=Tmem161a PE=2 SV=1"
"3042","Q8K4D3","Proton-coupled amino acid transporter 1 OS=Mus musculus OX=10090 GN=Slc36a1 PE=2 SV=1"
"3043","Q9JK23","Proteasome assembly chaperone 1 OS=Mus musculus OX=10090 GN=Psmg1 PE=1 SV=1"
"3044","Q9CQZ1","Heat shock factor-binding protein 1 OS=Mus musculus OX=10090 GN=Hsbp1 PE=1 SV=1"
"3045","Q8VCM8","Nicalin OS=Mus musculus OX=10090 GN=Ncln PE=1 SV=2"
"3046","Q8CB96","Ras association domain-containing protein 4 OS=Mus musculus OX=10090 GN=Rassf4 PE=1 SV=1"
"3047","Q80Y24","Prickle-like protein 2 OS=Mus musculus OX=10090 GN=Prickle2 PE=1 SV=3"
"3048","Q9CQN6","Transmembrane protein 14C OS=Mus musculus OX=10090 GN=Tmem14c PE=1 SV=1"
"3049","P40336","Vacuolar protein sorting-associated protein 26A OS=Mus musculus OX=10090 GN=Vps26a PE=1 SV=1"
"3050","Q91V24","ATP-binding cassette sub-family A member 7 OS=Mus musculus OX=10090 GN=Abca7 PE=1 SV=1"
"3051","B7ZMP1","Xaa-Pro aminopeptidase 3 OS=Mus musculus OX=10090 GN=Xpnpep3 PE=1 SV=1"
"3052","P58059","28S ribosomal protein S21, mitochondrial OS=Mus musculus OX=10090 GN=Mrps21 PE=1 SV=1"
"3053","Q6NV83","U2 snRNP-associated SURP motif-containing protein OS=Mus musculus OX=10090 GN=U2surp PE=1 SV=3"
"3054","Q8BK64","Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2"
"3055","E9PY46","Intraflagellar transport protein 140 homolog OS=Mus musculus OX=10090 GN=Ift140 PE=1 SV=1"
"3056","Q99J78","Differentially expressed in FDCP 8 OS=Mus musculus OX=10090 GN=Def8 PE=1 SV=1"
"3057","Q7TNE3","Sperm-associated antigen 7 OS=Mus musculus OX=10090 GN=Spag7 PE=1 SV=1"
"3058","P56546","C-terminal-binding protein 2 OS=Mus musculus OX=10090 GN=Ctbp2 PE=1 SV=2"
"3059","P21958","Antigen peptide transporter 1 OS=Mus musculus OX=10090 GN=Tap1 PE=1 SV=3"
"3060","Q9ESP1","Stromal cell-derived factor 2-like protein 1 OS=Mus musculus OX=10090 GN=Sdf2l1 PE=1 SV=2"
"3061","O70423","Membrane primary amine oxidase OS=Mus musculus OX=10090 GN=Aoc3 PE=1 SV=3"
"3062","Q8BHC9","Alpha-(1,3)-fucosyltransferase 11 OS=Mus musculus OX=10090 GN=Fut11 PE=1 SV=1"
"3063","P42225","Signal transducer and activator of transcription 1 OS=Mus musculus OX=10090 GN=Stat1 PE=1 SV=1"
"3064","Q8CCJ9","PHD finger protein 20-like protein 1 OS=Mus musculus OX=10090 GN=Phf20l1 PE=1 SV=2"
"3065","Q8R050","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Mus musculus OX=10090 GN=Gspt1 PE=1 SV=2"
"3066","Q91YX5","Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 OS=Mus musculus OX=10090 GN=Lpgat1 PE=1 SV=1"
"3067","P70404","Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus OX=10090 GN=Idh3g PE=1 SV=1"
"3068","O08641","SH3 domain-containing YSC84-like protein 1 OS=Mus musculus OX=10090 GN=Sh3yl1 PE=1 SV=1"
"3069","P48678","Prelamin-A/C OS=Mus musculus OX=10090 GN=Lmna PE=1 SV=2"
"3070","Q9D074","E3 ubiquitin-protein ligase MGRN1 OS=Mus musculus OX=10090 GN=Mgrn1 PE=1 SV=2"
"3071","Q6P5E4","UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus OX=10090 GN=Uggt1 PE=1 SV=4"
"3072","Q8K2Z8","Ubiquitin-conjugating enzyme E2 Q2 OS=Mus musculus OX=10090 GN=Ube2q2 PE=2 SV=2"
"3073","P58334","Krueppel-like factor 16 OS=Mus musculus OX=10090 GN=Klf16 PE=1 SV=2"
"3074","O88456","Calpain small subunit 1 OS=Mus musculus OX=10090 GN=Capns1 PE=1 SV=1"
"3075","Q9ESK3","Calpain-10 OS=Mus musculus OX=10090 GN=Capn10 PE=2 SV=2"
"3076","Q8VEB1","G protein-coupled receptor kinase 5 OS=Mus musculus OX=10090 GN=Grk5 PE=1 SV=2"
"3077","O08788","Dynactin subunit 1 OS=Mus musculus OX=10090 GN=Dctn1 PE=1 SV=3"
"3078","Q9CR27","WASH complex subunit 3 OS=Mus musculus OX=10090 GN=Washc3 PE=1 SV=1"
"3079","Q64518","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Mus musculus OX=10090 GN=Atp2a3 PE=1 SV=3"
"3080","B2RUR8","OTU domain-containing protein 7B OS=Mus musculus OX=10090 GN=Otud7b PE=1 SV=1"
"3081","P13541","Myosin-3 OS=Mus musculus OX=10090 GN=Myh3 PE=2 SV=2"
"3082","Q8K1N2","Pleckstrin homology-like domain family B member 2 OS=Mus musculus OX=10090 GN=Phldb2 PE=1 SV=2"
"3083","F6VAN0","Cyclic AMP-dependent transcription factor ATF-6 alpha OS=Mus musculus OX=10090 GN=Atf6 PE=1 SV=2"
"3084","Q8K114","Integrator complex subunit 9 OS=Mus musculus OX=10090 GN=Ints9 PE=1 SV=1"
"3085","P97805","Protein FAM3D OS=Mus musculus OX=10090 GN=Fam3d PE=2 SV=2"
"3086","Q3UA37","Glutamine-rich protein 1 OS=Mus musculus OX=10090 GN=Qrich1 PE=1 SV=1"
"3087","Q62384","Zinc finger protein ZPR1 OS=Mus musculus OX=10090 GN=Zpr1 PE=1 SV=1"
"3088","Q8K3Z9","Nuclear envelope pore membrane protein POM 121 OS=Mus musculus OX=10090 GN=Pom121 PE=1 SV=2"
"3089","P50446","Keratin, type II cytoskeletal 6A OS=Mus musculus OX=10090 GN=Krt6a PE=1 SV=3"
"3090","O54901","OX-2 membrane glycoprotein OS=Mus musculus OX=10090 GN=Cd200 PE=1 SV=1"
"3091","Q3UHH1","Zinc finger SWIM domain-containing protein 8 OS=Mus musculus OX=10090 GN=Zswim8 PE=1 SV=1"
"3092","Q9JIF0","Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1"
"3093","Q91W18","Tudor domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tdrd3 PE=1 SV=4"
"3094","Q69Z23","Dynein heavy chain 17, axonemal OS=Mus musculus OX=10090 GN=Dnah17 PE=1 SV=2"
"3095","Q5M6W3","Clathrin heavy chain linker domain-containing protein 1 OS=Mus musculus OX=10090 GN=Clhc1 PE=2 SV=1"
"3096","Q8R016","Bleomycin hydrolase OS=Mus musculus OX=10090 GN=Blmh PE=1 SV=1"
"3097","Q80TZ3","Putative tyrosine-protein phosphatase auxilin OS=Mus musculus OX=10090 GN=Dnajc6 PE=1 SV=2"
"3098","A2AAY5","SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1"
"3099","Q5F2E7","Nuclear fragile X mental retardation-interacting protein 2 OS=Mus musculus OX=10090 GN=Nufip2 PE=1 SV=1"
"3100","Q8BP78","Protein FRA10AC1 homolog OS=Mus musculus OX=10090 GN=Fra10ac1 PE=1 SV=3"
"3101","Q9ERG0","LIM domain and actin-binding protein 1 OS=Mus musculus OX=10090 GN=Lima1 PE=1 SV=3"
"3102","Q8BG40","Katanin p80 WD40 repeat-containing subunit B1 OS=Mus musculus OX=10090 GN=Katnb1 PE=1 SV=1"
"3103","Q8BZT9","Laccase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Lacc1 PE=1 SV=1"
"3104","Q8R3R8","Gamma-aminobutyric acid receptor-associated protein-like 1 OS=Mus musculus OX=10090 GN=Gabarapl1 PE=1 SV=2"
"3105","Q9R0M8","UDP-galactose translocator OS=Mus musculus OX=10090 GN=Slc35a2 PE=1 SV=1"
"3106","Q8VCI5","Peroxisomal biogenesis factor 19 OS=Mus musculus OX=10090 GN=Pex19 PE=1 SV=1"
"3107","P27773","Protein disulfide-isomerase A3 OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=2"
"3108","O08997","Copper transport protein ATOX1 OS=Mus musculus OX=10090 GN=Atox1 PE=1 SV=1"
"3109","P20357","Microtubule-associated protein 2 OS=Mus musculus OX=10090 GN=Map2 PE=1 SV=2"
"3110","O35623","BET1 homolog OS=Mus musculus OX=10090 GN=Bet1 PE=1 SV=1"
"3111","Q6P9P8","DENN domain-containing protein 2C OS=Mus musculus OX=10090 GN=Dennd2c PE=1 SV=1"
"3112","Q80VA0","N-acetylgalactosaminyltransferase 7 OS=Mus musculus OX=10090 GN=Galnt7 PE=1 SV=2"
"3113","P33215","Protein NEDD1 OS=Mus musculus OX=10090 GN=Nedd1 PE=1 SV=2"
"3114","Q9Z108","Double-stranded RNA-binding protein Staufen homolog 1 OS=Mus musculus OX=10090 GN=Stau1 PE=1 SV=1"
"3115","P70694","Estradiol 17 beta-dehydrogenase 5 OS=Mus musculus OX=10090 GN=Akr1c6 PE=1 SV=1"
"3116","P56480","ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2"
"3117","P97807","Fumarate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Fh PE=1 SV=3"
"3118","Q3UFF7","Lysophospholipase-like protein 1 OS=Mus musculus OX=10090 GN=Lyplal1 PE=1 SV=3"
"3119","Q99KW3","TRIO and F-actin-binding protein OS=Mus musculus OX=10090 GN=Triobp PE=1 SV=3"
"3120","Q8R107","PRELI domain-containing protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Prelid1 PE=1 SV=1"
"3121","Q9D4J7","PHD finger protein 6 OS=Mus musculus OX=10090 GN=Phf6 PE=1 SV=1"
"3122","Q6ZQA6","Immunoglobulin superfamily member 3 OS=Mus musculus OX=10090 GN=Igsf3 PE=1 SV=2"
"3123","Q3U0V2","Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Mus musculus OX=10090 GN=Tradd PE=1 SV=1"
"3124","B1AWN6","Sodium channel protein type 2 subunit alpha OS=Mus musculus OX=10090 GN=Scn2a PE=1 SV=1"
"3125","Q80TA1","Ethanolaminephosphotransferase 1 OS=Mus musculus OX=10090 GN=Selenoi PE=2 SV=3"
"3126","P58058","NAD kinase OS=Mus musculus OX=10090 GN=Nadk PE=1 SV=2"
"3127","Q68FF6","ARF GTPase-activating protein GIT1 OS=Mus musculus OX=10090 GN=Git1 PE=1 SV=1"
"3128","P50544","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadvl PE=1 SV=3"
"3129","Q9D6J5","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Mus musculus OX=10090 GN=Ndufb8 PE=1 SV=1"
"3130","Q9CQ00","Distal membrane-arm assembly complex protein 1 OS=Mus musculus OX=10090 GN=Dmac1 PE=1 SV=1"
"3131","P04104","Keratin, type II cytoskeletal 1 OS=Mus musculus OX=10090 GN=Krt1 PE=1 SV=4"
"3132","Q8R138","Transmembrane protein 119 OS=Mus musculus OX=10090 GN=Tmem119 PE=1 SV=1"
"3133","Q80Y98","Phospholipase DDHD2 OS=Mus musculus OX=10090 GN=Ddhd2 PE=1 SV=3"
"3134","Q8CBD1","Nuclear receptor-interacting protein 1 OS=Mus musculus OX=10090 GN=Nrip1 PE=1 SV=1"
"3135","O55242","Sigma non-opioid intracellular receptor 1 OS=Mus musculus OX=10090 GN=Sigmar1 PE=1 SV=1"
"3136","Q9D1L0","Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 OS=Mus musculus OX=10090 GN=Chchd2 PE=2 SV=1"
"3137","P0CW03","Lymphocyte antigen 6C2 OS=Mus musculus OX=10090 GN=Ly6c2 PE=1 SV=1"
"3138","P10107","Annexin A1 OS=Mus musculus OX=10090 GN=Anxa1 PE=1 SV=2"
"3139","P58064","28S ribosomal protein S6, mitochondrial OS=Mus musculus OX=10090 GN=Mrps6 PE=1 SV=3"
"3140","P27661","Histone H2AX OS=Mus musculus OX=10090 GN=H2afx PE=1 SV=2"
"3141","Q8C050","Ribosomal protein S6 kinase alpha-5 OS=Mus musculus OX=10090 GN=Rps6ka5 PE=1 SV=2"
"3142","Q3UBG2","PTB-containing, cubilin and LRP1-interacting protein OS=Mus musculus OX=10090 GN=Pid1 PE=1 SV=2"
"3143","E9Q634","Unconventional myosin-Ie OS=Mus musculus OX=10090 GN=Myo1e PE=1 SV=1"
"3144","Q8BY02","NF-kappa-B-repressing factor OS=Mus musculus OX=10090 GN=Nkrf PE=2 SV=3"
"3145","Q9Z0R9","Acyl-CoA 6-desaturase OS=Mus musculus OX=10090 GN=Fads2 PE=1 SV=1"
"3146","O89032","SH3 and PX domain-containing protein 2A OS=Mus musculus OX=10090 GN=Sh3pxd2a PE=1 SV=2"
"3147","Q9CQN1","Heat shock protein 75 kDa, mitochondrial OS=Mus musculus OX=10090 GN=Trap1 PE=1 SV=1"
"3148","Q99MD9","Nuclear autoantigenic sperm protein OS=Mus musculus OX=10090 GN=Nasp PE=1 SV=2"
"3149","Q8BK67","Protein RCC2 OS=Mus musculus OX=10090 GN=Rcc2 PE=1 SV=1"
"3150","P15116","Cadherin-2 OS=Mus musculus OX=10090 GN=Cdh2 PE=1 SV=2"
"3151","Q8VI23","Solute carrier family 12 member 8 OS=Mus musculus OX=10090 GN=Slc12a8 PE=2 SV=2"
"3152","Q9Z0J0","NPC intracellular cholesterol transporter 2 OS=Mus musculus OX=10090 GN=Npc2 PE=1 SV=1"
"3153","Q6IME9","Keratin, type II cytoskeletal 72 OS=Mus musculus OX=10090 GN=Krt72 PE=3 SV=1"
"3154","Q03526","Tyrosine-protein kinase ITK/TSK OS=Mus musculus OX=10090 GN=Itk PE=1 SV=1"
"3155","Q8K4J6","Myocardin-related transcription factor A OS=Mus musculus OX=10090 GN=Mrtfa PE=1 SV=2"
"3156","P70340","Mothers against decapentaplegic homolog 1 OS=Mus musculus OX=10090 GN=Smad1 PE=1 SV=2"
"3157","Q8VC26","TLC domain-containing protein 2 OS=Mus musculus OX=10090 GN=Tlcd2 PE=2 SV=1"
"3158","Q9Z2Z9","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 OS=Mus musculus OX=10090 GN=Gfpt2 PE=1 SV=3"
"3159","P00920","Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4"
"3160","Q80ZF8","Adhesion G protein-coupled receptor B3 OS=Mus musculus OX=10090 GN=Adgrb3 PE=1 SV=2"
"3161","Q9D7N9","Adipocyte plasma membrane-associated protein OS=Mus musculus OX=10090 GN=Apmap PE=1 SV=1"
"3162","Q8R1B4","Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus OX=10090 GN=Eif3c PE=1 SV=1"
"3163","P54763","Ephrin type-B receptor 2 OS=Mus musculus OX=10090 GN=Ephb2 PE=1 SV=3"
"3164","Q8CFE2","Histone PARylation factor 1 OS=Mus musculus OX=10090 GN=Hpf1 PE=1 SV=1"
"3165","Q91VD1","Galectin-12 OS=Mus musculus OX=10090 GN=Lgals12 PE=1 SV=2"
"3166","Q9CR64","Protein kish-A OS=Mus musculus OX=10090 GN=Tmem167a PE=1 SV=1"
"3167","Q9JIF7","Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1"
"3168","Q9QYC7","Vitamin K-dependent gamma-carboxylase OS=Mus musculus OX=10090 GN=Ggcx PE=1 SV=1"
"3169","P49443","Protein phosphatase 1A OS=Mus musculus OX=10090 GN=Ppm1a PE=1 SV=1"
"3170","O55101","Synaptogyrin-2 OS=Mus musculus OX=10090 GN=Syngr2 PE=2 SV=1"
"3171","Q9QWH1","Polyhomeotic-like protein 2 OS=Mus musculus OX=10090 GN=Phc2 PE=1 SV=1"
"3172","Q9Z2L7","Cytokine receptor-like factor 3 OS=Mus musculus OX=10090 GN=Crlf3 PE=1 SV=1"
"3173","Q8C6G8","WD repeat-containing protein 26 OS=Mus musculus OX=10090 GN=Wdr26 PE=1 SV=3"
"3174","Q8CI32","BAG family molecular chaperone regulator 5 OS=Mus musculus OX=10090 GN=Bag5 PE=1 SV=1"
"3175","P35639","DNA damage-inducible transcript 3 protein OS=Mus musculus OX=10090 GN=Ddit3 PE=1 SV=1"
"3176","Q9Z0W3","Nuclear pore complex protein Nup160 OS=Mus musculus OX=10090 GN=Nup160 PE=1 SV=2"
"3177","Q60575","Kinesin-like protein KIF1B OS=Mus musculus OX=10090 GN=Kif1b PE=1 SV=2"
"3178","Q9QZQ8","Core histone macro-H2A.1 OS=Mus musculus OX=10090 GN=H2afy PE=1 SV=3"
"3179","Q9EST1","Gasdermin-A OS=Mus musculus OX=10090 GN=Gsdma PE=2 SV=1"
"3180","Q3TYX3","SET and MYND domain-containing protein 5 OS=Mus musculus OX=10090 GN=Smyd5 PE=1 SV=2"
"3181","Q9CQZ7","DNA-directed RNA polymerase III subunit RPC10 OS=Mus musculus OX=10090 GN=Polr3k PE=3 SV=1"
"3182","Q8BGE5","Fanconi anemia group M protein homolog OS=Mus musculus OX=10090 GN=Fancm PE=1 SV=3"
"3183","P10854","Histone H2B type 1-M OS=Mus musculus OX=10090 GN=Hist1h2bm PE=1 SV=2"
"3184","Q8BH44","Coronin-2B OS=Mus musculus OX=10090 GN=Coro2b PE=1 SV=2"
"3185","Q5SVR0","TBC1 domain family member 9B OS=Mus musculus OX=10090 GN=Tbc1d9b PE=1 SV=1"
"3186","P49945","Ferritin light chain 2 OS=Mus musculus OX=10090 GN=Ftl2 PE=3 SV=2"
"3187","E9Q816","Cytochrome P450 2W1 OS=Mus musculus OX=10090 GN=Cyp2w1 PE=2 SV=1"
"3188","Q8CFW7","Coiled-coil and C2 domain-containing protein 2A OS=Mus musculus OX=10090 GN=Cc2d2a PE=1 SV=1"
"3189","Q8R2U0","Nucleoporin SEH1 OS=Mus musculus OX=10090 GN=Seh1l PE=2 SV=1"
"3190","Q9CRA4","Methylsterol monooxygenase 1 OS=Mus musculus OX=10090 GN=Msmo1 PE=1 SV=1"
"3191","Q9D6T0","Nitric oxide synthase-interacting protein OS=Mus musculus OX=10090 GN=Nosip PE=1 SV=1"
"3192","Q9WU62","Inner centromere protein OS=Mus musculus OX=10090 GN=Incenp PE=1 SV=2"
"3193","Q9D518","Protein FAM227B OS=Mus musculus OX=10090 GN=Fam227b PE=2 SV=3"
"3194","Q8BIQ5","Cleavage stimulation factor subunit 2 OS=Mus musculus OX=10090 GN=Cstf2 PE=1 SV=2"
"3195","P98083","SHC-transforming protein 1 OS=Mus musculus OX=10090 GN=Shc1 PE=1 SV=3"
"3196","Q8CIN4","Serine/threonine-protein kinase PAK 2 OS=Mus musculus OX=10090 GN=Pak2 PE=1 SV=1"
"3197","Q91VU0","Protein FAM3C OS=Mus musculus OX=10090 GN=Fam3c PE=1 SV=1"
"3198","Q8BWL5","RNA-binding motif, single-stranded-interacting protein 3 OS=Mus musculus OX=10090 GN=Rbms3 PE=2 SV=2"
"3199","Q8C6G1","Cilia- and flagella-associated protein 410 OS=Mus musculus OX=10090 GN=Cfap410 PE=1 SV=1"
"3200","Q9Z204","Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Mus musculus OX=10090 GN=Hnrnpc PE=1 SV=1"
"3201","Q80XP8","Protein FAM76B OS=Mus musculus OX=10090 GN=Fam76b PE=1 SV=1"
"3202","Q99KG3","RNA-binding protein 10 OS=Mus musculus OX=10090 GN=Rbm10 PE=1 SV=1"
"3203","P14152","Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3"
"3204","P97855","Ras GTPase-activating protein-binding protein 1 OS=Mus musculus OX=10090 GN=G3bp1 PE=1 SV=1"
"3205","Q8CH72","E3 ubiquitin-protein ligase TRIM32 OS=Mus musculus OX=10090 GN=Trim32 PE=1 SV=2"
"3206","Q99LV7","Phosphatidylinositol-glycan biosynthesis class X protein OS=Mus musculus OX=10090 GN=Pigx PE=2 SV=2"
"3207","Q8C4Y3","Negative elongation factor B OS=Mus musculus OX=10090 GN=Nelfb PE=1 SV=2"
"3208","Q62351","Transferrin receptor protein 1 OS=Mus musculus OX=10090 GN=Tfrc PE=1 SV=1"
"3209","cRAP040","Keratin, type I cytoskeletal 15 OS=Ovis aries GN=KRT15 PE=2 SV=1"
"3210","Q80WQ2","Protein VAC14 homolog OS=Mus musculus OX=10090 GN=Vac14 PE=1 SV=1"
"3211","Q8C025","Cholinephosphotransferase 1 OS=Mus musculus OX=10090 GN=Chpt1 PE=1 SV=1"
"3212","P62334","26S proteasome regulatory subunit 10B OS=Mus musculus OX=10090 GN=Psmc6 PE=1 SV=1"
"3213","Q9D8B6","Protein FAM210B, mitochondrial OS=Mus musculus OX=10090 GN=Fam210b PE=1 SV=3"
"3214","Q8C145","Zinc transporter ZIP6 OS=Mus musculus OX=10090 GN=Slc39a6 PE=1 SV=1"
"3215","O35598","Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus OX=10090 GN=Adam10 PE=1 SV=2"
"3216","Q8BQ47","Protein canopy homolog 4 OS=Mus musculus OX=10090 GN=Cnpy4 PE=1 SV=1"
"3217","A3KMP2","Tetratricopeptide repeat protein 38 OS=Mus musculus OX=10090 GN=Ttc38 PE=1 SV=2"
"3218","Q8R081","Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus OX=10090 GN=Hnrnpl PE=1 SV=2"
"3219","Q64437","Alcohol dehydrogenase class 4 mu/sigma chain OS=Mus musculus OX=10090 GN=Adh7 PE=2 SV=2"
"3220","Q5SX39","Myosin-4 OS=Mus musculus OX=10090 GN=Myh4 PE=2 SV=1"
"3221","P42859","Huntingtin OS=Mus musculus OX=10090 GN=Htt PE=1 SV=2"
"3222","Q8BZ21","Histone acetyltransferase KAT6A OS=Mus musculus OX=10090 GN=Kat6a PE=1 SV=2"
"3223","Q05A80","Caprin-2 OS=Mus musculus OX=10090 GN=Caprin2 PE=1 SV=1"
"3224","Q9ER64","Oxysterol-binding protein-related protein 5 OS=Mus musculus OX=10090 GN=Osbpl5 PE=1 SV=3"
"3225","Q5XG73","Acyl-CoA-binding domain-containing protein 5 OS=Mus musculus OX=10090 GN=Acbd5 PE=1 SV=1"
"3226","Q9CQX0","Ubiquitin thioesterase OTUB2 OS=Mus musculus OX=10090 GN=Otub2 PE=1 SV=1"
"3227","P83741","Serine/threonine-protein kinase WNK1 OS=Mus musculus OX=10090 GN=Wnk1 PE=1 SV=2"
"3228","Q8R5A3","Amyloid beta A4 precursor protein-binding family B member 1-interacting protein OS=Mus musculus OX=10090 GN=Apbb1ip PE=1 SV=2"
"3229","Q8C5L6","Inositol polyphosphate 5-phosphatase K OS=Mus musculus OX=10090 GN=Inpp5k PE=1 SV=2"
"3230","Q9WUM4","Coronin-1C OS=Mus musculus OX=10090 GN=Coro1c PE=1 SV=2"
"3231","Q6P5G3","MBT domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mbtd1 PE=1 SV=1"
"3232","Q99MK8","Beta-adrenergic receptor kinase 1 OS=Mus musculus OX=10090 GN=Grk2 PE=1 SV=2"
"3233","P14873","Microtubule-associated protein 1B OS=Mus musculus OX=10090 GN=Map1b PE=1 SV=2"
"3234","Q5NC05","Transcription termination factor 2 OS=Mus musculus OX=10090 GN=Ttf2 PE=1 SV=2"
"3235","Q9EPS3","D-glucuronyl C5-epimerase OS=Mus musculus OX=10090 GN=Glce PE=1 SV=2"
"3236","Q3U0M1","Trafficking protein particle complex subunit 9 OS=Mus musculus OX=10090 GN=Trappc9 PE=1 SV=2"
"3237","Q61712","DnaJ homolog subfamily C member 1 OS=Mus musculus OX=10090 GN=Dnajc1 PE=1 SV=1"
"3238","P54285","Voltage-dependent L-type calcium channel subunit beta-3 OS=Mus musculus OX=10090 GN=Cacnb3 PE=1 SV=2"
"3239","Q9D2V7","Coronin-7 OS=Mus musculus OX=10090 GN=Coro7 PE=1 SV=2"
"3240","B1AUE5","Peroxisome biogenesis factor 10 OS=Mus musculus OX=10090 GN=Pex10 PE=2 SV=1"
"3241","Q9JJF9","Signal peptide peptidase-like 2A OS=Mus musculus OX=10090 GN=Sppl2a PE=1 SV=2"
"3242","P38060","Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus OX=10090 GN=Hmgcl PE=1 SV=2"
"3243","P30999","Catenin delta-1 OS=Mus musculus OX=10090 GN=Ctnnd1 PE=1 SV=2"
"3244","Q8C102","Polypeptide N-acetylgalactosaminyltransferase 5 OS=Mus musculus OX=10090 GN=Galnt5 PE=2 SV=2"
"3245","Q7TN98","Cytoplasmic polyadenylation element-binding protein 4 OS=Mus musculus OX=10090 GN=Cpeb4 PE=1 SV=1"
"3246","P41233","ATP-binding cassette sub-family A member 1 OS=Mus musculus OX=10090 GN=Abca1 PE=1 SV=4"
"3247","Q6PCL9","Poly(A) polymerase gamma OS=Mus musculus OX=10090 GN=Papolg PE=1 SV=1"
"3248","Q8C156","Condensin complex subunit 2 OS=Mus musculus OX=10090 GN=Ncaph PE=1 SV=1"
"3249","P09405","Nucleolin OS=Mus musculus OX=10090 GN=Ncl PE=1 SV=2"
"3250","O70343","Peroxisome proliferator-activated receptor gamma coactivator 1-alpha OS=Mus musculus OX=10090 GN=Ppargc1a PE=1 SV=1"
"3251","P04117","Fatty acid-binding protein, adipocyte OS=Mus musculus OX=10090 GN=Fabp4 PE=1 SV=3"
"3252","Q8BQS5","Adiponectin receptor protein 2 OS=Mus musculus OX=10090 GN=Adipor2 PE=1 SV=2"
"3253","Q02780","Nuclear factor 1 A-type OS=Mus musculus OX=10090 GN=Nfia PE=1 SV=1"
"3254","Q91VE6","MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Mus musculus OX=10090 GN=Nifk PE=1 SV=1"
"3255","Q8JZW4","Copine-5 OS=Mus musculus OX=10090 GN=Cpne5 PE=1 SV=1"
"3256","P06795","Multidrug resistance protein 1B OS=Mus musculus OX=10090 GN=Abcb1b PE=1 SV=1"
"3257","P48614","Protein Wnt-10b OS=Mus musculus OX=10090 GN=Wnt10b PE=2 SV=1"
"3258","P48758","Carbonyl reductase [NADPH] 1 OS=Mus musculus OX=10090 GN=Cbr1 PE=1 SV=3"
"3259","P69566","Ran-binding protein 9 OS=Mus musculus OX=10090 GN=Ranbp9 PE=1 SV=1"
"3260","Q61739","Integrin alpha-6 OS=Mus musculus OX=10090 GN=Itga6 PE=1 SV=3"
"3261","E9PVA8","eIF-2-alpha kinase activator GCN1 OS=Mus musculus OX=10090 GN=Gcn1 PE=1 SV=1"
